"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"23",5058705.8465743,3729252.52896073,5061541.77913358,2451803.38911643,3842594.42055812,11713188.4902547,4202624.22666819,10743139.2805619,3573719.27350576,1813002.56919035,9615895.3626703,8704781.8779,185069.6772,7426195.77,3593031.121,5559016.361323,11540867.717,5838897.044,18790679.58,6012780.0412,8238463.349,71383.901597,462540.3186937
"24",1618826.38232712,249331.227729957,908601.035609286,279851.100475385,469502.6236348,1286890.47142751,533524.200772188,2021670.3411428,943185.763302639,359274.73388858,1172948.57181,1151367.366682,45270.161479,1056259.480524,897776.638509,710105.481343,471394.587875,526361.896136,2875401.858745,1379925.3670463,1408718.295424,29966.79871,60392.160615
"25",1053452.50548379,50993.6818181249,364267.94188194,55585.4056821547,132264.235817705,275113.683998283,114525.016013744,256882.363207438,117976.966201701,68216.1768285358,60725.9929935,204007.66387,6358.201385,159721.1376,177349.93559,176170.4687995,129587.118,98379.03585,746858.2972,305341.654309,422153.52182,5276.8784412,17003.1313323
"26",1404905.04824894,601337.734906907,1740137.532247,1247868.85444547,921402.851112553,3323756.3345517,1459111.59151628,4106949.85275193,1537212.97204343,905373.963789439,731454.725681,3001043.8917,52252.0811,1587959.735,1580005.6945,1031481.470911,949029.074,1109146.0667,6406247.774,1249504.32542,2309327.2356,25064.18006,92983.578903
"27",2365212.444967,352325.035416097,2222670.09781386,831556.514656794,1039459.28387339,3901771.82570329,1522680.95942765,4987773.57207463,1959561.27438314,774295.844348954,1462750.996007,3761365.0237,117810.3236,3341173.396,3239070.817,2140032.281947,2258652.282,2240671.891,12054372.426,2926653.96323,4396108.3307,40107.393718,127429.690809
"28",88825323.5210678,91562005.1311442,113369718.26557,37576967.7860797,113925511.294663,174168484.725847,96480620.6154929,155312570.467558,118584714.793873,59301191.545375,37841012.2239054,240925389.597792,6479373.67987845,83511872.6851001,185741926.856516,79076148.2303301,288808037.080097,49451063.8556406,607666856.965062,227186560.234577,251953295.937066,9248.88788050221,2654427.65174687
"29",169390.613547977,79987.0873714044,157386.056147221,59541.4126765817,126998.950215161,296973.793640248,137791.900593833,305519.172609151,111636.30859974,71736.0060966781,72093.671157,207259.906391,3760.319153,148024.956896,88174.86756,85861.625701,172633.297134,154286.5372,763854.239407,200723.774307,276897.789894,1686.7024688,10059.189394
"30",16259908.4315778,37551276.6339951,36984790.8842452,17707234.7320214,9176521.31627564,39309920.409508,9318457.57610332,12475458.959844,3982024.00223057,4535158.72580135,18650951.29168,34824191.491028,1032224.2595448,13304229.146022,29590418.353617,10524961.709683,32744965.668428,8418383.851446,73118915.74519,19700342.3645289,49607203.12375,43920.93124116,21.582198495
"31",1609701795.95636,976279483.961664,1402464697.09203,1023406804.39424,627985688.938368,3373355817.28337,2478407038.1565,3862722934.61128,1147258112.26161,347082516.822457,982653022.39432,2616581178.10252,27546849.250454,355048342.069873,789676959.40608,547336713.72011,1066627625.1,321615215.79089,2042179776.8,81144706.8934018,1400182642.7155,5893110.0772355,727765958.704254
"32",26629065.8972926,24992527.8217557,42597027.4169539,13099082.5285247,5293100.49032628,61901682.7312592,21683375.3892149,20759917.2760386,5975079.06299708,10289160.8140116,22959520.4269893,52285507.149103,289339.53734,3729266.9251,8294408.8228,46544525.409784,30732434.0628844,13450445.6340619,91129666.6872493,29968624.63478,37525381.27364,2050105.839642,9069850.5384298
"33",2560995.67619811,834188.239870513,3370197.34469795,1491730.66862417,2380483.41885235,7328360.98879819,3069517.78242156,6868833.99085505,3142246.40322755,1750633.01481868,2018375.255642,5295845.498,194367.1023,5848609.961,3903327.816,3068899.166248,3268281.54,3661823.722,20026608.26,6559897.3259,9370023.061,107983.329574,265187.202654
"34",3274976.36772618,1981143.61889325,3489143.92585233,2247280.78988374,2225638.43830284,6813039.13469366,3094619.97940468,9117319.13451378,3465532.54592729,1771224.45835842,3857539.447329,7881931.984,182434.36796,6763477.636,4011127.0042,3277809.884259,3591714.975,3167614.122,16960505.08,7153318.08582,8530038.336,64180.847886,254188.982749
"35",4123127.70552084,1286245.43117844,2485896.44871283,1289435.66510958,2133514.74893369,6033392.90505598,2039802.93066471,7693954.21174493,2740920.87783506,1295188.64256123,2231377.610314,9330379.2447,354344.677,9878236.89,8950037.952,6321279.312816,4024334.71,4498242.213,21535028.12,15819686.53042,18451741.4875,118486.0320699,278457.578039
"36",953372.056544523,535605.729732877,1597531.85248498,1279155.11667788,1004209.22581321,2866805.6022219,1087436.36935468,3536343.29786325,1186825.66976393,988735.79239801,963380.333084,2047295.0622,70379.30109,2710021.801,1386825.37677,1443065.782928,1372588.059,1265852.1539,6789051.391,2395409.19784,3370604.9106,36599.981614,102433.24906
"37",15658075.4197217,10984448.4632372,25894104.8689371,10474075.2561337,15439513.0571152,48169731.6696371,30001644.5076919,48709102.5348911,21018145.7287702,6898921.89019752,24131932.991725,37879104.47276,8030649.89993,18695077.0169145,7859720.530341,8094295.4287348,26585539.17702,8283287.1171531,67573151.45,10267353.775034,25714622.2224,5886.9188436,1499319.4634812
