,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
TUR_Metal Products,0.00028659918872975097,0.00648646085199557,0.013496957988686793,0.00013566270102966576,0.0013197002944110806,0.00977844529429436,0.08232983216431965,0.41628843192134457,0.01436847388244185,0.0011652902601385134,0.000920524083131701,0.0007352153830285163,0.020898459744384947,2.8809948022113474e-05,0.0020626151909766835,0.023098632299881166,0.018956640671455673,0.0007260330674898472,0.01570130910071954,0.0013108224490585385,0.016628366818805175,3.394839809635516e-05,0.00012763722746912193,6.954660957552968e-06,0.0001220883636526526
TUR_Electrical and Machinery,0.0007978400013426164,0.0026186225709948436,0.004710593244139899,0.00039872149646701425,0.002535156014060176,0.014911019709463633,0.08013673881286268,0.19729181507268445,0.18438089482401157,0.0033049011577259207,0.001277163336642682,0.00022131134545326552,0.01649455114097647,9.191366988964992e-05,0.0032622043441016685,0.038854863372016386,0.028456862951067623,0.000756799683344832,0.018094181225920797,0.0021950960003488916,0.03228803564655364,0.00010930190910602683,0.000325302795534248,1.458116684796218e-05,7.58529486988701e-05
TUR_Transport Equipment,0.00018155684993885813,0.0008172274891591998,0.001679001137988169,0.0002537283644705441,0.0043846921783117975,0.00770038516306669,0.098624103342551,0.1687660902221686,0.030969191453189587,0.2007074868507364,0.0006049433170100339,0.00017233514763161074,0.007530460598619331,5.359551415795029e-05,0.04837289660198658,0.02154154072843436,0.015975932687356583,0.0007742730647010434,0.020195185046985392,0.0015283288521313893,0.027137075918326963,6.109902590165722e-05,0.00026711301529430784,1.1499298797046173e-05,6.060877776116296e-05
TUR_Other Manufacturing,0.0019641226956575116,0.00030386076765701286,0.0008605943385071409,0.001176710864001767,0.024012531060047453,0.045867525152840774,0.12173274986514322,0.39167162157368823,0.0029847028868072016,0.0009570721490145283,0.008826733031466317,0.0007605227168872192,0.003662437359995319,3.530590799627417e-05,0.002660092164917961,0.03765297080371265,0.02446295738286484,0.0006788087748594934,0.016266182157396607,0.0013838513969648498,0.01959454818367909,4.042671479096484e-05,8.311162521506224e-05,7.167943636128473e-06,0.0001296750711536891
TUR_Recycling,0.0029005545056564894,0.002370867296999177,0.0037112690296646697,0.00401671882711583,0.005137722997861183,0.24996623568803983,0.03218509717932867,0.19766472973637222,0.004177308692621316,0.002574008974413495,0.0034734021380480058,0.0021508643385265576,0.012739967150327451,0.0026035910938705335,0.0077712497893045905,0.0718865156535054,0.038451442224463485,0.005457778376931453,0.03649371789272446,0.005887581004455266,0.046322922928406104,0.004279769224893697,0.003960042787678269,0.0008766553680137264,0.0021188202996185413
"TUR_Electricity, Gas and Water",0.00011157790960910906,0.05435131226511903,0.06417788214484392,3.540760526296948e-05,0.00016362610387675366,0.0004751254804314688,0.002677847301643304,0.005036152721553002,0.009560712474813415,0.00026730623231481217,6.007398092050527e-05,3.03760829085985e-05,0.14490993721073445,0.00015821865704086332,0.0007695987300342382,0.0037735055003222016,0.0017564352094933812,9.152387235851229e-05,0.0050955535845828,0.0006349402891282611,0.0058153140814152255,1.6796410075319516e-05,3.274227148762464e-05,3.6768055458827847e-06,1.1063071138155571e-05
TUR_Construction,0.00010213536390642616,7.058022449538652e-05,0.005556139955454045,6.351873141380235e-05,0.0007940062900511056,0.00958589180042814,0.054155429514794726,0.06242668735062163,0.010719443785034548,0.00047690287166109207,0.00042400829057062764,4.832889386664372e-05,0.005404590968782361,0.0015141610049796681,0.005460737401783794,0.016112044603291766,0.012727291326456638,0.0002766973764454346,0.009409839918289453,0.0007543781973296169,0.02198841648195085,4.8667442270439694e-06,3.706010774083086e-05,8.702139019913075e-07,1.3008161852366853e-05
TUR_Maintenance and Repair,0.00023838651933121813,0.007836493715063151,0.0095450554889545,9.482476760445134e-05,0.0002007404558288753,0.002405518995807013,0.004752611274496309,0.0012977628270481169,0.0009210018251011575,0.004401401493144851,0.00011342867294249116,1.8559331821792035e-05,0.003933878239754419,8.897309078574514e-05,0.006265469077766508,0.0030207438546280907,0.0007245857084882551,0.0019626117530551004,0.007610360163716936,0.0018098295184199508,0.01777320441102136,5.801101553106906e-06,6.405657816867762e-05,1.2580549049467626e-06,5.459185130060017e-06
TUR_Wholesale Trade,0.0004380379914445986,0.00035210827980172303,0.0012367252685411977,0.000189767309144671,0.000723746628502434,0.0027315193786272415,0.0051298601637194095,0.002188461731297186,0.0008183412285422865,0.0008139185591192966,0.00016494606422943125,1.3644820210764196e-05,0.001734168667549956,9.44437033164587e-05,0.0027461026183429496,0.004560465325499424,0.0009756865898085711,0.0023994739842367377,0.008266509755704253,0.002240617382196955,0.014687477650915031,4.398626501262138e-06,0.00016029650333412388,7.441811506714252e-07,7.593189182936048e-06
TUR_Retail Trade,0.001265186841101027,0.0004954899323385044,0.0015430358417735286,0.0006534708881897935,0.0038660968627116862,0.002759414907909933,0.004798500162480432,0.0015311112649226749,0.0015708466455391424,0.0007945817983187777,0.0008253377949751346,2.810378748264841e-05,0.002286898102491586,0.00010491475726202478,0.0021166090390023922,0.0036011302843877453,0.001467475052856104,0.004613716034106726,0.014506731378504022,0.0025215302383310295,0.014795974258120929,5.422900311991166e-06,7.17626550529972e-05,1.021097113203111e-06,1.0599387798504932e-05
